user_id,age,gender,occupation,smoking_status,pet_status,sleep_schedule,cleanliness,budget_min,budget_max,roommate_gender_pref,pref_smoking
1,24,MALE,Software Engineer,NON_SMOKER,NO_PETS,NIGHT_OWL,4,3000,5000,MALE,NOT_ALLOWED
2,22,FEMALE,Medical Student,NON_SMOKER,HAS_PETS,EARLY_BIRD,5,2000,4000,FEMALE,NOT_ALLOWED
3,20,MALE,Freelancer,SMOKER,NO_PETS,EARLY_BIRD,1,3646,6448,MALE,NOT_ALLOWED
4,26,FEMALE,Engineer,SMOKER,HAS_PETS,NIGHT_OWL,1,3237,5169,ANY,ALLOWED
5,28,MALE,Engineer,NON_SMOKER,NO_PETS,NIGHT_OWL,1,3802,6659,ANY,NOT_ALLOWED
6,26,FEMALE,Student,NON_SMOKER,HAS_PETS,EARLY_BIRD,4,3282,3861,MALE,NOT_ALLOWED
7,28,FEMALE,Student,SMOKER,HAS_PETS,NIGHT_OWL,3,1622,2672,FEMALE,NOT_ALLOWED
8,19,MALE,Teacher,SMOKER,HAS_PETS,NIGHT_OWL,5,2078,4011,FEMALE,NOT_ALLOWED
9,32,MALE,Engineer,NON_SMOKER,HAS_PETS,EARLY_BIRD,4,1872,4232,ANY,ALLOWED
10,32,MALE,Designer,SMOKER,NO_PETS,NIGHT_OWL,3,2722,5144,ANY,NOT_ALLOWED
11,19,MALE,Student,SMOKER,HAS_PETS,NIGHT_OWL,3,2737,3451,MALE,ALLOWED
12,21,FEMALE,Student,NON_SMOKER,HAS_PETS,NIGHT_OWL,3,2544,3336,MALE,NOT_ALLOWED
13,34,MALE,Freelancer,SMOKER,NO_PETS,EARLY_BIRD,4,2496,4847,FEMALE,NOT_ALLOWED
14,22,MALE,Doctor,NON_SMOKER,NO_PETS,EARLY_BIRD,2,2528,3959,ANY,ALLOWED
15,24,MALE,Doctor,SMOKER,NO_PETS,EARLY_BIRD,5,1567,4068,MALE,NOT_ALLOWED
16,27,MALE,Doctor,NON_SMOKER,HAS_PETS,EARLY_BIRD,5,2348,5336,FEMALE,NOT_ALLOWED
17,30,FEMALE,Doctor,SMOKER,HAS_PETS,NIGHT_OWL,4,3776,5446,ANY,ALLOWED
18,32,MALE,Teacher,SMOKER,HAS_PETS,EARLY_BIRD,3,3810,6728,MALE,NOT_ALLOWED
19,30,MALE,Student,SMOKER,NO_PETS,NIGHT_OWL,3,3113,5171,MALE,ALLOWED
20,33,MALE,Doctor,SMOKER,NO_PETS,NIGHT_OWL,3,1915,2673,FEMALE,NOT_ALLOWED
21,21,MALE,Teacher,SMOKER,HAS_PETS,EARLY_BIRD,4,2234,5166,FEMALE,ALLOWED
22,32,MALE,Designer,SMOKER,HAS_PETS,EARLY_BIRD,3,2650,3352,ANY,NOT_ALLOWED
23,25,FEMALE,Student,NON_SMOKER,NO_PETS,NIGHT_OWL,1,3173,4765,ANY,NOT_ALLOWED
24,23,MALE,Teacher,NON_SMOKER,HAS_PETS,NIGHT_OWL,2,3674,5693,MALE,NOT_ALLOWED
25,32,FEMALE,Student,NON_SMOKER,NO_PETS,NIGHT_OWL,1,3699,5250,MALE,NOT_ALLOWED
26,32,MALE,Designer,NON_SMOKER,HAS_PETS,EARLY_BIRD,1,2167,2983,FEMALE,ALLOWED
27,29,MALE,Teacher,NON_SMOKER,HAS_PETS,NIGHT_OWL,4,3623,6604,MALE,NOT_ALLOWED
28,18,MALE,Designer,SMOKER,HAS_PETS,EARLY_BIRD,3,2361,3250,MALE,NOT_ALLOWED
29,32,MALE,Doctor,SMOKER,HAS_PETS,NIGHT_OWL,5,2458,4617,MALE,NOT_ALLOWED
30,18,MALE,Engineer,NON_SMOKER,HAS_PETS,NIGHT_OWL,3,1846,4213,ANY,ALLOWED
31,26,MALE,Student,NON_SMOKER,HAS_PETS,EARLY_BIRD,1,2521,3675,ANY,NOT_ALLOWED
32,21,MALE,Student,NON_SMOKER,NO_PETS,EARLY_BIRD,3,2829,4686,MALE,NOT_ALLOWED
33,32,MALE,Designer,SMOKER,NO_PETS,EARLY_BIRD,3,1736,3989,ANY,NOT_ALLOWED
34,26,FEMALE,Student,NON_SMOKER,HAS_PETS,EARLY_BIRD,1,3069,5616,ANY,NOT_ALLOWED
35,35,FEMALE,Student,NON_SMOKER,NO_PETS,NIGHT_OWL,3,2795,3565,ANY,NOT_ALLOWED
36,29,MALE,Teacher,SMOKER,NO_PETS,EARLY_BIRD,3,1786,4006,ANY,NOT_ALLOWED
37,29,MALE,Engineer,NON_SMOKER,HAS_PETS,NIGHT_OWL,4,2038,3175,ANY,NOT_ALLOWED
38,23,FEMALE,Designer,SMOKER,NO_PETS,EARLY_BIRD,3,3568,4140,ANY,ALLOWED
39,23,FEMALE,Doctor,NON_SMOKER,HAS_PETS,NIGHT_OWL,2,3168,5194,FEMALE,NOT_ALLOWED
40,32,MALE,Engineer,NON_SMOKER,NO_PETS,EARLY_BIRD,5,3715,6019,ANY,NOT_ALLOWED
41,18,MALE,Engineer,SMOKER,NO_PETS,NIGHT_OWL,1,2781,5057,MALE,ALLOWED
42,32,FEMALE,Engineer,SMOKER,NO_PETS,NIGHT_OWL,3,3200,5739,FEMALE,ALLOWED
43,30,FEMALE,Student,SMOKER,HAS_PETS,EARLY_BIRD,2,2446,3557,MALE,ALLOWED
44,28,FEMALE,Doctor,NON_SMOKER,NO_PETS,EARLY_BIRD,3,1537,4222,ANY,NOT_ALLOWED
45,29,FEMALE,Student,NON_SMOKER,NO_PETS,EARLY_BIRD,5,3928,6264,FEMALE,ALLOWED
46,31,MALE,Designer,NON_SMOKER,NO_PETS,NIGHT_OWL,4,1759,4131,MALE,ALLOWED
47,20,MALE,Engineer,SMOKER,HAS_PETS,NIGHT_OWL,1,2757,4086,MALE,NOT_ALLOWED
